leading_figure	theoretical_percent	observed_percent
1	0.301029995663981	0.317320954014869
2	0.176091259055681	0.181350287617318
3	0.1249387366083	0.122767181350288
4	0.0969100130080564	0.0929037575268275
5	0.0791812460476248	0.076386786423117
6	0.0669467896306132	0.0635617452147879
7	0.0579919469776867	0.0544790930803647
8	0.0511525224473813	0.0487772059070878
9	0.0457574905606751	0.0424529888653413
