testcenter_id	last_figure	observed_percent	theoretical_percent
48	0	0.0072463768115942	0.1
48	1	0.108695652173913	0.1
48	2	0.123188405797101	0.1
48	3	0.111111111111111	0.1
48	4	0.118357487922705	0.1
48	5	0.0458937198067633	0.1
48	6	0.154589371980676	0.1
48	7	0.128019323671498	0.1
48	8	0.113526570048309	0.1
48	9	0.0893719806763285	0.1
68	0	0.00444444444444444	0.1
68	1	0.186666666666667	0.1
68	2	0.111111111111111	0.1
68	3	0.2	0.1
68	4	0.106666666666667	0.1
68	5	0.0222222222222222	0.1
68	6	0.0488888888888889	0.1
68	7	0.151111111111111	0.1
68	8	0.0933333333333333	0.1
68	9	0.0755555555555556	0.1
486	0	0.389830508474576	0.1
486	1	0.271186440677966	0.1
486	2	0.0677966101694915	0.1
486	3	0.0508474576271186	0.1
486	4	0.0677966101694915	0.1
486	5	0.0169491525423729	0.1
486	6	0.0677966101694915	0.1
486	7	0.0169491525423729	0.1
486	8	0.0169491525423729	0.1
486	9	0.0338983050847458	0.1
547	0	0.226277372262774	0.1
547	1	0.0875912408759124	0.1
547	2	0.0924574209245742	0.1
547	3	0.0900243309002433	0.1
547	4	0.0754257907542579	0.1
547	5	0.0997566909975669	0.1
547	6	0.0924574209245742	0.1
547	7	0.0705596107055961	0.1
547	8	0.0754257907542579	0.1
547	9	0.0900243309002433	0.1
811	0	0.0550161812297735	0.1
811	1	0.087378640776699	0.1
811	2	0.0679611650485437	0.1
811	3	0.0679611650485437	0.1
811	4	0.0517799352750809	0.1
811	5	0.100323624595469	0.1
811	6	0.0809061488673139	0.1
811	7	0.100323624595469	0.1
811	8	0.190938511326861	0.1
811	9	0.197411003236246	0.1
