testcenter_id	typ_l	mean	p90	suspicious_des
530	Doctor's or dentist's office	3.44444444444444	23.0205882352941	0
531	Pharmacy	368.283185840708	164.238227401301	1
532	Doctor's or dentist's office	5.5679012345679	23.0205882352941	0
533	Private test center	88.8611111111111	347.757593984963	0
534	Private test center	20.7111111111111	347.757593984963	0
535	Pharmacy	129.489675516224	164.238227401301	0
536	Private test center	104.1	347.757593984963	0
537	Private test center	140.595022624434	347.757593984963	0
538	Private test center	97.468253968254	347.757593984963	0
539	Private test center	50.5369127516779	347.757593984963	0
540	Private test center	44.3333333333333	347.757593984963	0
541	Private test center	70.6111111111111	347.757593984963	0
542	Doctor's or dentist's office	35.5833333333333	23.0205882352941	1
543	Doctor's or dentist's office	3.50877192982456	23.0205882352941	0
544	Doctor's or dentist's office	1.82758620689655	23.0205882352941	0
545	Doctor's or dentist's office	23.2058823529412	23.0205882352941	1
546	Private test center	22.4117647058824	347.757593984963	0
547	Pharmacy	96.2235576923077	164.238227401301	0
548	Doctor's or dentist's office	2.40740740740741	23.0205882352941	0
549	Private test center	62.3840579710145	347.757593984963	0
550	Private test center	129.812807881773	347.757593984963	0
551	Pharmacy	194.424731182796	164.238227401301	1
552	Private test center	131.707692307692	347.757593984963	0
553	Private test center	597.832116788321	347.757593984963	1
554	Doctor's or dentist's office	2.14285714285714	23.0205882352941	0
555	Private test center	292.068027210884	347.757593984963	0
556	Private test center	54.7647058823529	347.757593984963	0
557	Doctor's or dentist's office	2.78947368421053	23.0205882352941	0
558	Doctor's or dentist's office	2.109375	23.0205882352941	0
559	Private test center	57.2413793103448	347.757593984963	0
560	Private test center	140.176470588235	347.757593984963	0
561	Private test center	94.3538461538461	347.757593984963	0
562	Doctor's or dentist's office	1.6	23.0205882352941	0
563	Private test center	3.34188034188034	347.757593984963	0
564	Doctor's or dentist's office	99.0987654320988	23.0205882352941	1
565	Private test center	35.8095238095238	347.757593984963	0
566	Doctor's or dentist's office	8.34666666666667	23.0205882352941	0
567	Private test center	12.6315789473684	347.757593984963	0
568	Private test center	107.264705882353	347.757593984963	0
569	Private test center	72.20625	347.757593984963	0
570	Doctor's or dentist's office	1	23.0205882352941	0
571	Private test center	244.84126984127	347.757593984963	0
572	Private test center	97.7423312883436	347.757593984963	0
573	Private test center	91.5287671232877	347.757593984963	0
574	Private test center	105.132686084142	347.757593984963	0
575	Private test center	83.58	347.757593984963	0
576	Doctor's or dentist's office	3.29473684210526	23.0205882352941	0
577	Doctor's or dentist's office	4.5	23.0205882352941	0
578	Private test center	237.557065217391	347.757593984963	0
579	Private test center	198.92700729927	347.757593984963	0
580	Private test center	174.083769633508	347.757593984963	0
581	Private test center	881	347.757593984963	1
582	Private test center	197.627450980392	347.757593984963	0
583	Doctor's or dentist's office	4.34782608695652	23.0205882352941	0
584	Doctor's or dentist's office	3	23.0205882352941	0
585	Private test center	212.512820512821	347.757593984963	0
586	Private test center	2.35714285714286	347.757593984963	0
587	Private test center	104.382978723404	347.757593984963	0
588	Private test center	110	347.757593984963	0
589	Private test center	82.2466666666667	347.757593984963	0
590	Private test center	191.571428571429	347.757593984963	0
591	Private test center	380.105263157895	347.757593984963	1
592	Private test center	55.0833333333333	347.757593984963	0
