x	theoretical	observed
0	0.1	0.099283297
1	0.1	0.107893689
2	0.1	0.105186144
3	0.1	0.099940275
4	0.1	0.100308581
5	0.1	0.097023691
6	0.1	0.096744973
7	0.1	0.098546685
8	0.1	0.098347601
9	0.1	0.096725065
